full_name,institution_name,institution_id,institution_type,email,contact_info
Algis Marcinkevičius,Prienų rajono savivaldybė Balbieriškio seniūnija,456,4,balbieriskio_seniunija@prienai.lt,"Klevų g. 4, Balbieriškis, 59243 Prienų r. sav."
Filomena Stanislava Ruseckienė,Prienų rajono savivaldybė Išlaužo seniūnija,457,4,islauzo_seniunija@prienai.lt,"Išlaužas, LT-59304 Prienų rajonas"
Algis Bartusevičius,Prienų rajono savivaldybė Jiezno seniūnija,458,4,jiezno_seniunija@prienai.lt,"J.Basanavičiaus g. 1, Jieznas, LT-59425 Prienų r. sav."
Antosė Brūzgienė,Prienų rajono savivaldybė Naujosios Ūtos seniūnija,459,4,nutos_seniunija@prienai.lt,"Naujoji Ūta, 59260 Prienų r."
Audrius Narvydas,Prienų rajono savivaldybė Pakuonio seniūnija,460,4,pakuonio_seniunija@prienai.lt,"Sodų g. 33, Pakuonis, Prienų r."
Algimantas Matulevičius,Prienų rajono savivaldybė Prienų seniūnija,461,4,prienuseniunas@prienai.lt,"Vytauto g. 35, 59126 Prienai"
Gintautas Kaminskas,Prienų rajono savivaldybė Stakliškių seniūnija,462,4,stakliskiu_seniunija@prienai.lt,"Vilniaus g. 2, Stakliškės, LT-59369 Prienų r."
Aušra Kazlauskienė,Prienų rajono savivaldybė Šilavoto seniūnija,463,4,silavoto_seniunija@prienai.lt,"Šilavotas, Prienų r. sav."
Vaclovas Ramanauskas,Prienų rajono savivaldybė Veiverių seniūnija,464,4,veiveriu_seniunija@prienai.lt,"Kauno g. 33, Veiveriai, LT- 59292 Prienų r. sav."
Leonas Grigaliūnas,Radviliškio rajono savivaldybė Radviliškio miesto seniūnija,465,4,radv.seniunija@radviliskis.lt,"Gedimino g. 8, 82174 Radviliškis"
Kostas Dočkus,Radviliškio rajono savivaldybė Šeduvos miesto seniūnija,466,4,seduva@radviliskis.lt,"Laisvės a. 6, 82227 Šeduva, Radviliškio r."
Alma Kubilinskienė,Radviliškio rajono savivaldybė Aukštelkų seniūnija,467,4,aukstelkai@radviliskis.lt,"Žalioji g. 1, 82486 Aukštelkai, Radviliškio r."
Romas Kalvaitis,Radviliškio rajono savivaldybė Baisogalos seniūnija,468,4,baisogala@radviliskis.lt,"Mokyklos g. 4, 82323 Baisogala, Radviliškio r."
Vincas Petrauskas,Radviliškio rajono savivaldybė Grinkiškio seniūnija,469,4,grinkiskis@radviliskis.lt,"Tilto g. 41, 82288 Grinkiškis, Radviliškio r."
Rimantas Ropolas,Radviliškio rajono savivaldybė Pakalniškių seniūnija,470,4,pakalniskiai@radviliskis.lt,"Jaunimo g. 4, Raudondvaris, 82213 Radviliškio r."
Vidmantas Tamošiūnas,Radviliškio rajono savivaldybė Radviliškio seniūnija,471,4,vidmantas.t@radviliskis.lt,"Gedimino g. 8, 82174 Radviliškis"
Vidmantas Blužas,Radviliškio rajono savivaldybė Sidabravo seniūnija,472,4,sidabravas@radviliskis.lt,"Pergalės g. 20, 82251 Sidabravas, Radviliškio r."
Romualda Rimkuvienė,Radviliškio rajono savivaldybė Skėmių seniūnija,473,4,skemiai@radviliskis.lt,"82350 Skėmiai, Radviliškio r."
Albinas Augustis,Radviliškio rajono savivaldybė Šaukoto seniūnija,474,4,saukotas@radviliskis.lt,"82412 Šaukotas, Radviliškio r."
Vitas Pranas Tutkus,Radviliškio rajono savivaldybė Šiaulėnų seniūnija,475,4,siaulenai@radviliskis.lt,"Dvaro g. 2, 82323 Baisogala, Radviliškio r."
Rimantas Liukumas,Radviliškio rajono savivaldybė Tyrulių seniūnija,476,4,tyruliai@radviliskis.lt,"Liepų g. 11, 82466 Tyruliai, Radviliškio r."
Juozas Labanauskas,Raseinių rajono savivaldybė Ariogalos seniūnija,477,4,ariogalos.sen@raseiniai.lt,"Vytauto g. 103, 60263 Ariogala, Raseinių r."
Regina Meškauskienė,Raseinių rajono savivaldybė Ariogalos miesto seniūnija,478,4,ariogala@raseiniai.lt,"Vytauto g. 103, 60263 Ariogala, Raseinių r."
Stanislovas Totilas,Raseinių rajono savivaldybė Betygalos seniūnija,479,4,betygala@raseiniai.lt,"Sporto g. 1, Betygala, 60209 Raseinių r."
Justina Šaulienė,Raseinių rajono savivaldybė Girkalnio seniūnija,480,4,girkalnis@raseiniai.lt,"Šėtupio g.40, 60313 Girkalnis, Raseinių r."
Regina Čepurnovienė,Raseinių rajono savivaldybė Kalnujų seniūnija,481,4,kalnujai@raseiniai.lt,"Kalnujai, 60321 Raseinių r."
Remigijus Laugalis,Raseinių rajono savivaldybė Nemakščių seniūnija,482,4,nemaksciai@raseiniai.lt,"Laisvės g. 27, 60382 Nemakščiai, Raseinių r."
Albinas Renusas,Raseinių rajono savivaldybė Pagojukų seniūnija,483,4,pagojukai@raseiniai.lt,"Liolingos g. 1, Kaulakių k., 60456 Raseinių r."
Virginija Kiaušienė,Raseinių rajono savivaldybė Paliepių seniūnija,484,4,paliepiai@raseiniai.lt,"Sujainiai, 60344 Raseinių r."
Jonas Elzbergas,Raseinių rajono savivaldybė Raseinių miesto seniūnija,485,4,raseiniai@raseiniai.lt,"Maironio g. 38, 60151 Raseiniai"
Rolandas Klusas,Raseinių rajono savivaldybė Raseinių seniūnija,486,4,raseiniu.sen@raseiniai.lt,"Maironio g. 38, 60151 Raseiniai"
Vygaudas Šeimys,Raseinių rajono savivaldybė Šiluvos seniūnija,487,4,siluva@raseiniai.lt,"Bukoto g. 8, 60432 Šiluva, Raseinių r."
Gytis Šulinskas,Raseinių rajono savivaldybė Viduklės seniūnija,488,4,vidukle@raseiniai.lt,"Kęstučio g. 16, 60349 Viduklė, Raseinių r."
Asta Globienė,Rietavo savivaldybė Daugėdų seniūnija,489,4,daugedai@rietavas.lt,"Daugėdų k., Daugėdų sen., Rietavo sav."
Salomėja Čiesnienė,Rietavo savivaldybė Medingėnų seniūnija,490,4,medingenai@rietavas.lt,"Medingėnų k., Medingenų sen., Rietavo sav."
Jurgis Baltrimas,Rietavo savivaldybė Rietavo miesto seniūnija,491,4,m.seniunija@rietavas.lt,"Oginskių g., 8, Rietavas"
Romanas Jurčius,Rietavo savivaldybė Rietavo seniūnija,492,4,k.seniunija@rietavas.lt,"Oginskių g. 8, 90311 Rietavas"
Antanas Zalepūgas,Rietavo savivaldybė Tverų seniūnija,493,4,seniunas@tverai.lt,"Žemaičių a., Tverai, Rietavo sav."
Liucija Bliūdžiuvienė,Rokiškio rajono savivaldybė Juodupės seniūnija,494,4,seniunija@juodupe.lt,"Pergalės g. 8 B, Juodupė, LT-42466"
Audronė Baltuškaitė,Rokiškio rajono savivaldybė Jūžintų seniūnija,495,4,juzintaisen@erdves.lt,"J. O. Širvydo g. 31, Jūžintai, LT - 42263"
Vytautas Vilys,Rokiškio rajono savivaldybė Kamajų seniūnija,496,4,kamajai@post.rokiskis.lt,"Vilniaus g. 4, Kamajai, LT - 42284"
Vytautas Spalgenas,Rokiškio rajono savivaldybė Kazliškio seniūnija,497,4,kazliskrok@erdves.lt,"Paliepio g. 13, Kazliškis, LT - 42357"
Arvydas Rudinskas,Rokiškio rajono savivaldybė Kriaunų seniūnija,498,4,seniunas.kriaunos@erdves.lt,"Liepų g. 2, Kriaunos, LT - 42254"
Eugenijus Narkūnas,Rokiškio rajono savivaldybė Obelių seniūnija,499,4,e.narkunas@post.rokiskis.lt,"Dariaus ir Girėno g. 6, Obeliai, LT-42216 Rokiškio r."
Romualdas Varanius,Rokiškio rajono savivaldybė Pandėlio seniūnija,500,4,pandelys@post.rokiskis.lt,"Vytauto a. 9, Pandėlys, LT - 42370"
Anicetas Bytautas,Rokiškio rajono savivaldybė Panemunėlio seniūnija,501,4,seniunas@panemunelis.lt,"Stoties g. 4, Panemunėlio gel. stotis, LT - 42325"
Dalia Janulienė,Rokiškio rajono savivaldybė Rokiškio kaimiškoji seniūnija,502,4,d.januliene@post.rokiskis.lt,"Respublikos g. 94, Rokiškis, LT - 42136"
Viktoras Gruodys,Rokiškio rajono savivaldybė Rokiškio miesto seniūnija,503,4,v.gruodys@post.rokiskis.lt,"Respublikos g. 94, Rokiškis, LT - 42136"
Donatas Valančauskas,Skuodo rajono savivaldybė Aleksandrijos seniūnija,504,4,aleksandrija@skuodas.lt,"Liepų g. 1, Aleksandrija, LT-98332 Skuodo r."
Gintautas Čičirka,Skuodo rajono savivaldybė Barstyčių seniūnija,505,4,barstyciai@skuodas.lt,"Skuodo g. 2, Barstyčiai, LT-98226 Skuodo r."
Vytautas Gudauskas,Skuodo rajono savivaldybė Ylakių seniūnija,506,4,ylakiai@skuodas.lt,"Sedos g. 3, Ylakiai, LT-98353 Skuodo r."
Rimantas Mikšta,Skuodo rajono savivaldybė Lenkimų seniūnija,507,4,lenkimai@skuodas.lt,"S. Daukanto g. 59, Lenkimai, LT-98301 Skuodo r."
Augenijus Zabitis,Skuodo rajono savivaldybė Mosėdžio seniūnija,508,4,eugenijus@sistema.lt,"Kęstučio g. 4, Mosėdis, LT-98268 Skuodo r."
Arvydas Mačiukas,Skuodo rajono savivaldybė Notėnų seniūnija,509,4,notenai@skuodas.lt,"Notės g. 30, Notėnai, LT-98261 Skuodo r."
Viliutė Jautakienė,Skuodo rajono savivaldybė Skuodo seniūnija,510,4,seniunija@skuodas.lt,"Vilniaus g. 13, Skuodas, LT-98112 Skuodas"
Algimantas Šideikis,Skuodo rajono savivaldybė Skuodo miesto seniūnija,511,4,miestas@skuodas.lt,"Vilniaus g. 13, Skuodas, LT-98112 Skuodas"
Antanas Raudonis,Skuodo rajono savivaldybė Šačių seniūnija,512,4,sates@skuodas.lt,"Beržo g. 1, Šatės, LT-98242 Skuodo r."
Jan Miloševič,Šalčininkų rajono savivaldybė Akmenynės seniūnija,513,4,akmenyne@salcininkai.lt,Akmenynės k. LT-17293 Šalčininkų r.
Genadij Baranovič,Šalčininkų rajono savivaldybė Baltosios Vokės seniūnija,514,4,baranovic@takas.lt,"Vilniaus g. 17, Baltoji Vokė LT-17235 Šalčininkų r."
Vanda Belskaja,Šalčininkų rajono savivaldybė Butrimonių seniūnija,515,4,butrimonys@salcininkai.lt,Butrimonių k. LT-17157 Šalčininkų r.
Vaclav Jankelait,Šalčininkų rajono savivaldybė Dainavos seniūnija,516,4,dainava@salcininkai.lt,Dainavos k. LT-17192 Šalčininkų r.
Česlava Marcinkevič,Šalčininkų rajono savivaldybė Dieveniškių seniūnija,517,4,dieveniskes@salcininkai.lt,Vilniaus g. 8 Dieveniškės LT-17139 Šalčininkų r.
Tadeuš Ziminski,Šalčininkų rajono savivaldybė Eišiškių seniūnija,518,4,eisiskes@salcininkai.lt,Gegužės a. 19 Eišiškės LT-17169 Šalčininkų r.
Valerijus Ivaška,Šalčininkų rajono savivaldybė Gerviškių seniūnija,519,4,gerviskes@salcininkai.lt,Gerviškių k. LT-17146 Šalčininkų r.
Sofija Griaznova,Šalčininkų rajono savivaldybė Jašiūnų seniūnija,520,4,jasiunai@salcininkai.lt,Saulėtoji g. 7 Jašiūnai LT-17248 Šalčininkų r.
Danuta Vilbik,Šalčininkų rajono savivaldybė Kalesninkų seniūnija,521,4,kalesninkai@salcininkai,Kalesninkų k. LT-17185 Šalčininkų r.
Tadeuš Minakovskij,Šalčininkų rajono savivaldybė Pabarės seniūnija,522,4,pabare@salcininkai.lt,"Pabarės k., Jundzilo g. 43 LT-17201 Šalčininkų r."
Rimantas Stočkus,Šalčininkų rajono savivaldybė Poškonių seniūnija,523,4,poskonys@salcininkai.lt,Poškonių k. LT-17134 Šalčininkų r.
Voicech Jurgelevič,Šalčininkų rajono savivaldybė Turgelių seniūnija,525,4,turgeliai@salcininkai.lt,"Ilgoji g. 4, Turgelių k. LT-17285 Šalčininkų r."
Vaclovas Kardašius,Šiaulių miesto savivaldybė Medelyno seniūnija,526,4,medelynas@siauliai.lt,"Birutės g. 40, LT-81189 Šiauliai"
Vaida Čelkienė,Šiaulių miesto savivaldybė Rėkyvos seniūnija,527,4,rekyva@siauliai.lt,"Energetikų g. 6-39, Rėkyva LT-79236 Šiauliai"
Vytautas Slabys,Šiaulių rajono savivaldybė Bubių seniūnija,528,4,-,"Šilojų g. 1, Bubiai"
Vilija Kvasienė,Šiaulių rajono savivaldybė Ginkūnų seniūnija,529,4,ginkunai@siauliai-r.sav.lt,"Žeimių g. 9, Ginkūnai"
Nijolė Bagdonavičienė,Šiaulių rajono savivaldybė Gruzdžių seniūnija,530,4,gruzdziai@siauliai-r.sav.lt,"J. Šliūpo g. 2, Gruzdžiai"
Artūras Šulčius,Šiaulių rajono savivaldybė Kairių seniūnija,531,4,kairiai@siauliai-r.sav.lt,"Plento g. 2 LT-80114, Kairiai Šialių r. sav."
Edita Mileikienė,Šiaulių rajono savivaldybė Kuršėnų kaimiškoji seniūnija,532,4,,"J. Basanavičiaus g. 5, Kuršėnai"
Vytautas Gedmontas,Šiaulių rajono savivaldybė Kuršėnų miesto seniūnija,533,4,kursenai@siauliai-r.sav.lt,"J. Basanavičiaus g. 5, Kuršėnai"
Jolanda Rudavičienė,Šiaulių rajono savivaldybė Kužių seniūnija,534,4,kuziai@siauliai-r.sav.lt.,"Vilties g. 2, Kužiai"
Jolanta Baškienė,Šiaulių rajono savivaldybė Meškuičių seniūnija,535,4,-,"Šiaulių g. 15, Meškuičiai"
Antanas Venckus,Šiaulių rajono savivaldybė Raudėnų seniūnija,536,4,-,"Tryškių g. 6, Raudėnai, Šiaulių raj."
Algimantas Bronislovas Rudis,Šiaulių rajono savivaldybė Šakynos seniūnija,537,4,sakyna@siauliai-r.sav.lt,"Šiaulių g. 18, Šakyna, Šiaulių raj."
Jonas Obrikas,Šiaulių rajono savivaldybė Šiaulių kaimiškoji seniūnija,538,4,-,"Vilniaus g. 324, Vijolių kaimas Šiaulių rajonas"
Steponas Jasaitis,Šilalės rajono savivaldybė Bijotų seniūnija,539,4,steponas.jasaitis@silale.lt,"Dionizo Poškos g. 6 – 1, Bijotai, LT-75224 Šilalės r."
Loreta Daukantienė,Šilalės rajono savivaldybė Bilionių seniūnija,540,4,loreta.daukantiene@silale.lt,Bilionių km. LT – 75403 Šilalės r. sav.
Gintaras Kasnauskas,Šilalės rajono savivaldybė Didkiemio seniūnija,541,4,gintaras.kasnauskas@silale.lt,Didkiemio k.Šilalės r.
Albina Bataitienė,Šilalės rajono savivaldybė Kaltinėnų seniūnija,542,4,albina.bataitiene@silale.lt,"Varnių g.7, Kaltinėnų mstl., 75451 Šilalės r. sav."
Rolandas Toleikis,Šilalės rajono savivaldybė Kvėdarnos seniūnija,543,4,rolandas.toleikis@silale.lt,"S.Dariaus ir S.Girėno g. 24, Kvėdarnos mstl., 75348 Šilalės r. sav."
Stasys Skalauskas,Šilalės rajono savivaldybė Laukuvos seniūnija,544,4,stasys.skalauskas@silale.lt,"Eitvydaičių g.1, Laukuvos mstl., 75408 Šilalės r. sav."
Rasa Ivinskienė,Šilalės rajono savivaldybė Palentinio seniūnija,545,4,rasa.ivinskiene@silale.lt,"Palentinio k., 75441 Šilalės r. sav."
Roma Noreikienė,Šilalės rajono savivaldybė Pajūrio seniūnija,546,4,roma.noreikiene@silale.lt,"Dariaus ir Girėno g. 33, Pajūrio mstl., 75289 Šilalės r.sav."
Alfonsas Paulikas,Šilalės rajono savivaldybė Šilalės miesto seniūnija,547,4,vida.miliauskyte@silale.lt,"J.Basanavičiaus g. 2, Šilalė, LT-75136"
Stasys Lidžius,Šilalės rajono savivaldybė Šilalės kaimiškoji seniūnija,548,4,regina.audinyte@silale.lt,"J.Basanavičiaus g. 2, Šilalė LT – 75136"
Loreta Petravičienė,Šilalės rajono savivaldybė Tenenių seniūnija,549,4,loreta.petraviciene@silale.lt,"Tenenių mstl., 75300 Šilalės r. sav."
Rimantas Knyzelis,Šilalės rajono savivaldybė Traksėdžio seniūnija,550,4,rimantas.knyzelis@silale.lt,"Basanavičiaus g.5, Šilalė, LT –76135"
Stefa Kažukauskienė,Šilalės rajono savivaldybė Upynos seniūnija,551,4,stefa.kazukauskiene@silale.lt,"Dariaus ir Girėno g. 2, Upynos mstl., Upynos sen., Šilalės r. LT-75243"
Vytautas Katauskis,Šilalės rajono savivaldybė Žadeikių seniūnija,552,4,vytautas.katauskis@silale.lt,"Žadeikių k., LT-75361 Šilalės r."
Tomas Balčytis,Šilutės rajono savivaldybė Gardamo seniūnija,553,4,sen.gardamas@pamarys.lt,"Liepų g. 4, LT-99417 Gardamas, Šilutės r."
Dylertas Valentinas,Šilutės rajono savivaldybė Juknaičių seniūnija,554,4,sen.juknaiciai@pamarys.lt,"Šiloko g. 3, Juknaičiai, LT-99331 Šilutės rajonas"
Juzefa Tamavičienė,Šilutės rajono savivaldybė Katyčių seniūnija,555,4,sen.katyciai@pamarys.lt,"Katyčiai, Šilutės r."
Antanas Kližentis,Šilutės rajono savivaldybė Kintų seniūnija,556,4,sen.kintai@pamarys.lt,"Kintų mstl., Šilutės rajonas, LT- 99358"
Voitech Deniuš,Šilutės rajono savivaldybė Rusnės seniūnija,557,4,sen.rusne@pamarys.lt,"Neringos g. 7, Rusnė, , LT-99350, Šilutės rajonas"
Anastazija Oželytė,Šilutės rajono savivaldybė Saugų seniūnija,558,4,sen.saugos@pamarys.lt,"Mažosios Lietuvos g.4, Saugos, LT-99402 Šilutės r."
Raimondas Steponkus,Šilutės rajono savivaldybė Šilutės seniūnija,559,4,RS@pamarys.lt,"Lietuvininkų g.17, 99134 Šilutė"
Alfonsas Šeputis,Šilutės rajono savivaldybė Švėkšnos seniūnija,560,4,sen.sveksna@pamarys.lt,"Liepų a. Nr. 24, Švėkšna"
Vitalijus Mockus,Šilutės rajono savivaldybė Vainuto seniūnija,561,4,sen.vainutas@pamarys.lt,"Vainuto mstl., Baranausko g.7, LT-99431 Šilutės r."
Jonas Budreckas,Šilutės rajono savivaldybė Žemaičių Naumiesčio seniūnija,562,4,sen.znaumiestis@pamarys.lt,"Klaipėdos g.1, Žemaičių Naumiestis, LT-99207 Šilutės r."
Algirdas Rauktys,Šilutės rajono savivaldybė Usėnų seniūnija,563,4,sen.usenai@pamarys.lt,"Usėnai, LT-5734 Šilutės r."
Sigitas Bankauskas,Širvintų rajono savivaldybė Alionių seniūnija,564,4,alionys@sirvintos.lt,"Alionys I, LT – 19143 Širvintų rajonas"
Virginijus Niekis,Širvintų rajono savivaldybė Čiobiškio seniūnija,565,4,v.niekis@sirvintos.lt,"Čiobiškis, LT-19194 Širvintų rajonas"
Lionginas Juzėnas,Širvintų rajono savivaldybė Gelvonų seniūnija,566,4,l.juzenas@sirvintos.lt,"Gelvonai, Širvintų rajonas, LT-19201"
Vidmantas Grinis,Širvintų rajono savivaldybė Jauniūnų seniūnija,567,4,v.grinis@sirvintos.lt,"Jauniūnai, LT- 19152 Širvintų rajonas"
Stanislovas Gaidakauskas,Širvintų rajono savivaldybė Kernavės seniūnija,568,4,s.gaidakauskas@sirvintos.lt,"Kerniaus g. 4, Kernavė, LT- 19172 Širvintų rajonas"
Birutė Jankauskienė,Širvintų rajono savivaldybė Musninkų seniūnija,569,4,musninkai@sirvintos.lt,"Musninkai, Širvintų rajonas, LT- 19185"
Laimutė Griškienė,Širvintų rajono savivaldybė Širvintų seniūnija,570,4,l.griskiene@sirvintos.lt,"Vilniaus g. 86, LT-19120, Širvintos"
Nerijus Drazdas,Širvintų rajono savivaldybė Zibalų seniūnija,571,4,n.drazdas@sirvintos.lt,"Zibalai, Širvintų rajonas, LT- 19106"
Lucija Tunevič,Švenčionių rajono savivaldybė Pabradės miesto seniūnija,572,4,pabrade@svencionys.lt,"Pašto g. 6, LT-18175 Pabradė, Švenčionių r."
Ina Sinienė,Švenčionių rajono savivaldybė Švenčionių miesto seniūnija,573,4,svencionys@svencionys.lt,"Švenčionėlių g. 6A, LT-18112 Švenčionys, Švenčionių r."
Remigijus Kukėnas,Švenčionių rajono savivaldybė Švenčionėlių miesto seniūnija,574,4,svencioneliai@svencionys.lt,Švenčionių g. 3 LT-18215 Švenčionėliai
Arūnas Pirštelis,Švenčionių rajono savivaldybė Adutiškio seniūnija,575,4,adutiskis@svencionys.lt,"Postavų g. 1, Adutiškis, LT-18290 Švenčionių r."
Ona Mirinienė,Švenčionių rajono savivaldybė Cirkliškio seniūnija,576,4,cirkliskis@svencionys.lt,"Artojų g.2, LT-18122 Cirkliškis, Švenčionių raj."
Boleslovas Kizikas,Švenčionių rajono savivaldybė Kaltanėnų seniūnija,577,4,kaltanenai@svencionys.lt,"Švenčionėlių g. 34, LT-18239 Kaltanėnai Švenčionių r."
Vincas Jusys,Švenčionių rajono savivaldybė Labanoro seniūnija,578,4,labanoras@svencionys.lt,"Labanoras, LT-18235 Švenčionių r."
Jonas Vaivilavičius,Švenčionių rajono savivaldybė Magūnų seniūnija,579,4,magunai@svencionys.lt,"Magūnų k., LT-18157 Švenčionių r."
Marija Sadovskaja,Švenčionių rajono savivaldybė Pabradės seniūnija,580,4,pabrades.sen@svencionys.lt,"Pašto g. 6, LT-18175 Pabradė Švenčionių r."
Janina Jankevičiūtė,Švenčionių rajono savivaldybė Sarių seniūnija,581,4,sariai@svencionys.lt,"Švenčionių r.sav., LT-18147 Sariai, Malūno g. 5"
Slava Aliancevičius,Švenčionių rajono savivaldybė Strūnaičio seniūnija,582,4,strunaitis@svencionys.lt,Naujas Strūnaitis LT-18131 Švenčionių r.
Povilas Čapskas,Švenčionių rajono savivaldybė Svirkų seniūnija,583,4,svirkos@svencionys.lt,LT-18276 Svirkų k. Švenčionių r.
Tadas Bečelis,Švenčionių rajono savivaldybė Švenčionių seniūnija,584,4,svencioniu.sen@svencionys.lt,"Švenčionėlių g.6A, LT-18112 Švenčionys, Švenčionių r."
Antanas Juodaitis,Švenčionių rajono savivaldybė Švenčionėlių seniūnija,585,4,svencioneliu.sen@svencionys.lt,Švenčionių g. 3 LT-18215 Švenčionėliai
Antanas Kontrimas,Telšių rajono savivaldybė Degaičių seniūnija,586,4,degaiciu.sen@telsiai.lt,"Anulėnų g. 3, Degaičių k., Telšių r."
Stasė Benikienė,Telšių rajono savivaldybė Gadūnavo seniūnija,587,4,gadunavo.sen@telsiai.lt,"Gadūnavo mstl. LT-88075, Telšių r."
Genovaitė Linkuvienė,Telšių rajono savivaldybė Luokės seniūnija,588,4,luokes.sen@telsiai.lt,"Kuršėnų g.1, Luokės mstl., Telšių r. sav., LT–88236"
Vilma Šakienė,Telšių rajono savivaldybė Nevarėnų seniūnija,589,4,nevarenu.sen@telsiai.lt,"Liepų g. 16, LT- 88468 Nevarėnai, Telšių r."
Benediktas Šniaukas,Telšių rajono savivaldybė Ryškėnų seniūnija,590,4,ryskenu.sen@telsiai.lt,"Masčio g. 5, Ryškėnų km., LT-87430, Telšių r."
Darius Klemanskas,Telšių rajono savivaldybė Telšių miesto seniūnija,591,4,-,"Turgaus a. 7, LT-87122 Telšiai"
Jonas Buivydas,Telšių rajono savivaldybė Tryškių seniūnija,592,4,tryskiu.sen@telsiai.lt,"Stoties g. 1, Tryškių mstl., Telšių r."
Donatas Želvys,Telšių rajono savivaldybė Upynos seniūnija,593,4,upynos.sen@telsiai.lt,"Kuršėnų g. 26A, Upynos k., LT-88226, Telšių r."
Rolandas Bružas,Telšių rajono savivaldybė Varnių seniūnija,594,4,varniu.sen@telsiai.lt,"Vytauto g. 2, Varniai, LT-88320 Telšių r."
Petras Varnelis,Telšių rajono savivaldybė Viešvėnų seniūnija,595,4,viesvenu.sen@telsiai.lt,"Getautės g. 1, Viešvėnų I k., Telšių r."
Pranas Lukošius,Telšių rajono savivaldybė Žarėnų seniūnija,596,4,zarenu.sen@telsiai.lt,"Varnių g. 1, Žarėnų mstl, Telšių r., LT-88379"
Jadvyga Dzenčevičienė,Trakų rajono savivaldybė Aukštadvario seniūnija,597,4,aukstadvaris@trakai.lt,"Skrebės g. 2 LT-21254, Aukštadvaris Trakų r. sav."
Vida Jankauskienė,Trakų rajono savivaldybė Grendavės seniūnija,598,4,grendave@trakai.lt,"Grendavė, Trakų r. sav., LT-21191"
Jonas Kietavičius,Trakų rajono savivaldybė Lentvario seniūnija,599,4,lentvaris@trakai.lt,"Klevų al. 47a, Lentvaris"
Juozas Okunevičius,Trakų rajono savivaldybė Onuškio seniūnija,600,4,-,"Daugų g. 2, LT-21213, Onuškis Trakų r. sav."
Marija Golubovska,Trakų rajono savivaldybė Paluknio seniūnija,601,4,paluknys@trakai.lt,"LT-21168, Paluknys Trakų r. sav."
Tadeušas Pavlovskis,Trakų rajono savivaldybė Rūdiškių seniūnija,602,4,rudiskes@trakai.lt,"Trakų g. 67 LT-21171, Rūdiškės Trakų r. sav."
Ana Ingelevič,Trakų rajono savivaldybė Senųjų Trakų seniūnija,603,4,senieji.trakai@trakai.lt,"Trakų g. 50 LT-21146, Senieji Trakai Trakų r. sav."
Kęstutis Vilkauskas,Trakų rajono savivaldybė Trakų seniūnija,604,4,trakai@trakai.lt,"Vytauto g. 33, Trakai, LT-21106"
Salvijus Stimburys,Ukmergės rajono savivaldybė Deltuvos seniūnija,605,4,deltuva@ukmerge.lt,"Deltuvos miestelis , Ukmergės rajonas , LT-20306"
Vytautas Toliūnas,Ukmergės rajono savivaldybė Lyduokių seniūnija,606,4,lyduokiai@ukmerge.lt,"Taikos g. 2, Lyduokių mstl., Ukmergės r., LT-20387"
Gediminas Lapukas,Ukmergės rajono savivaldybė Pabaisko seniūnija,607,4,pabaiskas@ukmerge.lt,Pabaisko mstl. Ukmergės raj.
Alvydas Gratkauskas,Ukmergės rajono savivaldybė Pivonijos seniūnija,608,4,pivonija@ukmerge.lt,"Vytauto g. 39, LT-20114 Ukmergė"
Algirdas Kaušas,Ukmergės rajono savivaldybė Siesikų seniūnija,609,4,siesikai@ukmerge.lt,"Ukmergės rajonas, Siesikų mstl., Draugystės g.2"
Jonas Dikčius,Ukmergės rajono savivaldybė Šešuolių seniūnija,610,4,sesuoliai@ukmerge.lt,"Liaušių km., Ukmergės raj."
Elvyra Tulušienė,Ukmergės rajono savivaldybė Taujėnų seniūnija,611,4,taujenai@ukmerge.lt,"Taujėnai, Ukmergės raj."
Stasys Jackūnas,Ukmergės rajono savivaldybė Ukmergės miesto seniūnija,612,4,ukmerges_sen@ukmerge.lt,"Vytauto g. 88, LT-201777 Ukmergė"
Dalė Urbonienė,Ukmergės rajono savivaldybė Veprių seniūnija,613,4,vepriai@ukmerge.lt,"Vepriai, LT-20036 Ukmergės rajonas"
Virgilijus Štaras,Ukmergės rajono savivaldybė Vidiškių seniūnija,614,4,vidiskiai@ukmerge.lt,"Ukmergės g. 23, Vidiškių mstl., Ukmergės raj."
Kęstutis Mikalajūnas,Ukmergės rajono savivaldybė Želvos seniūnija,615,4,zelva@ukmerge.lt,"Želva, Ukmergės raj."
Rita Mikutienė,Ukmergės rajono savivaldybė Žemaitkiemio seniūnija,616,4,zemaitkiemis@ukmerge.lt,"Dariaus ir Girėno g-vė 15, Žemaitkiemis, Ukmergės raj."
Vytas Jurka,Utenos rajono savivaldybė Užpalių seniūnija,617,4,uzpaliai@utena.lt,"Basanavičiaus g. 1 LT - 28033 Užpaliai, Utenos r."
Audrius Remeikis,Utenos rajono savivaldybė Vyžuonų seniūnija,618,4,vyzuonos@utena.lt,"Šilo g. 4 LT - 28030 Vyžuonos, Utenos raj."
Giedrė Eimutienė,Utenos rajono savivaldybė Daugailių seniūnija,619,4,daugailiai@utena.lt,"Daugailiai, Didžioji g. 48 LT-28414 Utenos rajonas"
Gražina Bivainienė,Utenos rajono savivaldybė Kuktiškių seniūnija,620,4,kuktiskes@utena.lt,"Aukštaičių g. 1 LT-28021 Kuktiškių mstl., Utenos r."
